code,country,pop,ghg,ghg_per_capita
AT,Austria,8822267,81.50147,9.238155000296409
BE,Belgium,11398589,123.6429,10.847211001291475
BG,Bulgaria,7050034,58.59507,8.311317363859521
CY,Cyprus,864236,9.85631,11.404651044390652
CZ,Czechia,10610055,129.38768,12.194817086245074
DE,Germany,82792351,888.71856,10.734307569065166
DK,Denmark,5781190,51.29975,8.873562363458042
EE,Estonia,1319133,20.18452,15.301353237315722
EL,Greece,10741165,96.11319,8.948115963212556
ES,Spain,46658447,352.20855,7.548655659285017
FI,Finland,5513130,58.81929,10.668946678202763
FR,France,66918941,462.79866,6.915809680849552
HR,Croatia,4105493,24.35714,5.932817325471022
HU,Hungary,9778371,64.06754,6.551964534788054
IE,Ireland,4830392,64.24155,13.299448574774056
IT,Italy,60483973,439.26395,7.262485055338544
LT,Lithuania,2808901,20.64803,7.350928352405442
LU,Luxembourg,602005,12.36369,20.537520452487936
LV,Latvia,1934379,12.19977,6.306814745197296
MT,Malta,475701,2.66164,5.595195301250155
NL,Netherlands,17181084,200.45852,11.667396539124073
PL,Poland,37976687,415.8582,10.950354884827105
PT,Portugal,10291027,71.57381,6.954972521207067
RO,Romania,19530631,116.53108,5.9665803936390995
SE,Sweden,10120242,54.60557,5.3956782851635365
SI,Slovenia,2066880,17.6044,8.517378851215359
SK,Slovakia,5443120,43.53438,7.998056261849821
UK,United Kingdom,66273576,498.74577,7.5255599607300505
