region,pop,gdp,ghg,continent,gdp_per_capita,ghg_per_capita,ghg_per_gdp
Africa (others),716729098,2675477209736.6045,1486.669621336417,Africa,3732.8988277473345,2.074242032986942,555.6652158822825
Asia A,39236975,1304714749380.8347,437.5451140400375,Asia,33252.1747504958,11.151346760040434,335.35691556156536
Asia B,776411709,4028749177960.4404,1814.2829014873023,Asia,5188.934081312831,2.336753658473358,450.33404199309956
Australia and New Zealand,28411695,1329625264310.286,752.8331656435706,Australia and New Zealand,46798.51956422473,26.497298582276443,566.1995043649283
Brazil,204471769,3079188290952.61,1266.3558486593356,South and Latin America,15059.2343677166,6.1933041165175995,411.2628813184927
Canada,35702908,1705542753732.58,769.342351509427,North America,47770.41561243639,21.548450661481887,451.08359190980195
China,1378511300,17820625603485.586,12977.454751557621,Asia,12927.442526938725,9.414108358457142,728.2266650066048
Czechia,10546059,381419243744.287,127.72072241654361,Europe,36166.99316249672,12.110753639491644,334.8565247068939
Egypt,92442547,977158901320.088,325.99182345488003,Africa,10570.445460790777,3.526426240234165,333.6118854512639
Ethiopia,100835458,179394752299.826,158.93073254799876,Africa,1779.084023199716,1.576139343245694,885.927433832483
Europe A,27075537,1198212851435.3098,400.79861989627204,Europe,44254.44457243119,14.802979527101238,334.49701312764694
Europe B,154691639,5533001821318.585,1200.0339002846297,Europe,35767.94361406039,7.757587339834376,216.88659050516026
France,66548272,2898403462583.59,431.88399374511266,Europe,43553.39929162383,6.489785245590038,149.0075482314454
Germany,81686611,4183096725487.14,909.6963453789027,Europe,51209.08646200465,11.1364192276125,217.4695937189845
India,1310152403,7146025965618.05,3398.8157198742174,Asia,5454.347104394121,2.594214010592642,475.6231975964082
Indonesia,258383256,2622487705196.92,928.6907328465451,Asia,10149.603909306414,3.5942372862061354,354.12586720852164
Iran,78492215,996702756823.574,829.6466668540781,Asia,12698.109702007696,10.569795575957158,832.3912632670019
Iraq,35572261,366774200828.51,245.63896366338565,Asia,10310.680021956154,6.9053514383970604,669.72803187495
Italy,60730582,2456236707301.17,415.0716057327199,Europe,40444.80764734265,6.8346390247457185,168.98680998411857
Japan,127141000,5044058338654.66,1303.471748396623,Asia,39672.94844821624,10.252174738256134,258.4172626251349
Kazakhstan and Turkmenistan,23108093,498434765901.04034,496.3229058367273,Asia,21569.705726086544,21.478315230803652,995.7630161281078
Libya,6418315,70745422757.5003,69.77439871605267,Africa,11022.429213508578,10.87113965519808,986.2743905739868
Mexico,121858258,2350432007146.83,773.5740191002582,South and Latin America,19288.24558731859,6.348146049324439,329.1199306119445
Middle East A,21303400,1259203986889.3096,700.7719547551885,Asia,59108.12297047934,32.89484095286144,556.5198030275851
Middle East B,24179353,514242787523.10614,143.31108806498565,Asia,21267.847304396695,5.9270025986628205,278.6837103836801
Nigeria,181137448,998931446583.027,327.032702627748,Africa,5514.770455323114,1.8054394949174066,327.38252834707055
Poland,37986412,1058728496068.97,398.8442218512002,Europe,27871.24238185407,10.499655030625165,376.720021546693
Russia,144096870,3743057881913.87,2245.212121483709,Russia,25975.98325289002,15.581269194006149,599.8336633618139
Saudi Arabia,31717667,1551667004842.07,716.7072108368068,Asia,48921.22125003929,22.596466847224505,461.89498687558535
South Africa,55386367,711162938824.492,586.1931907385845,Africa,12840.035867030094,10.583708997172256,824.2740991361633
South Korea,51014947,1982957176351.5,689.0734970764626,Asia,38870.12126762574,13.507286346420443,347.4979214348485
South/Latin America (others),254194927,3810909230680.767,1241.334261596092,South and Latin America,14992.074293759479,4.883395102515527,325.7317837964733
Spain,46444832,1739401558702.49,342.6273859502193,Europe,37450.917223739554,7.377083115516907,196.9800384712791
Thailand,68714511,1120152218578.74,406.1623473519499,Asia,16301.538092568831,5.910867172611472,362.59567281605047
Turkey,78529409,2042980933569.71,509.90524455393216,Asia,26015.488459485412,6.4931756274128105,249.58884156739163
Ukraine,45154036,481451410067.453,298.16511732774285,Europe,10662.422514511283,6.6032882936033195,619.3046922138392
United Kingdom,65116219,2924553400689.22,554.5784280443228,Europe,44912.825799809114,8.516748001666416,189.62841571421708
United States,320635163,18768625520582.1,6194.896885492297,North America,58535.76802049656,19.32070340486111,330.06662521444804
